vector_index,test_case_id,frequency_hz,amplitude_peak_dps,frequency_zone,sample_index,sample_tick_ms,gyro_x_raw_lsb,gyro_x_dps,segment,tremor_envelope,voluntary_envelope,tremor_ratio,on_count,off_count,enabled
0,f5p50_a10,5.5,10.0,formal_motor_band,0,0,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,1,10,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,2,20,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,3,30,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,4,40,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,5,50,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,6,60,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,7,70,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,8,80,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,9,90,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,10,100,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,11,110,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,12,120,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,13,130,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,14,140,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,15,150,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,16,160,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,17,170,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,18,180,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,19,190,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,20,200,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,21,210,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,22,220,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,23,230,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,24,240,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,25,250,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,26,260,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,27,270,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,28,280,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,29,290,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,30,300,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,31,310,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,32,320,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,33,330,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,34,340,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,35,350,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,36,360,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,37,370,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,38,380,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,39,390,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,40,400,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,41,410,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,42,420,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,43,430,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,44,440,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,45,450,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,46,460,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,47,470,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,48,480,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,49,490,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,50,500,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,51,510,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,52,520,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,53,530,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,54,540,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,55,550,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,56,560,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,57,570,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,58,580,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,59,590,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,60,600,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,61,610,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,62,620,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,63,630,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,64,640,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,65,650,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,66,660,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,67,670,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,68,680,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,69,690,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,70,700,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,71,710,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,72,720,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,73,730,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,74,740,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,75,750,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,76,760,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,77,770,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,78,780,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,79,790,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,80,800,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,81,810,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,82,820,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,83,830,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,84,840,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,85,850,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,86,860,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,87,870,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,88,880,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,89,890,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,90,900,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,91,910,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,92,920,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,93,930,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,94,940,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,95,950,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,96,960,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,97,970,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,98,980,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,99,990,0,0.0,rest_before,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,100,1000,0,0.0,tone,0.0,0.0,0.0,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,101,1010,54,3.375,tone,0.012223174795508385,0.012223174795508385,0.4999999701976776,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,102,1020,102,6.375,tone,0.06761464476585388,0.06953690201044083,0.49299225211143494,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,103,1030,138,8.625,tone,0.19019365310668945,0.20454837381839752,0.4818176031112671,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,104,1040,157,9.8125,tone,0.3749721050262451,0.4309125542640686,0.4652925133705139,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,105,1050,158,9.875,tone,0.5877756476402283,0.7418956160545349,0.44204583764076233,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,106,1060,140,8.75,tone,0.7723773717880249,1.1119287014007568,0.40990015864372253,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,107,1070,106,6.625,tone,0.8628635406494141,1.500420331954956,0.3651120960712433,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,108,1080,59,3.6875,tone,0.8110917210578918,1.8573598861694336,0.30395594239234924,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,109,1090,5,0.3125,tone,0.7624261975288391,2.130017042160034,0.2635924518108368,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,110,1100,-49,-3.0625,tone,0.716680645942688,2.2703380584716797,0.23993176221847534,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,111,1110,-98,-6.125,tone,0.6736798286437988,2.2417547702789307,0.2310735583305359,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,112,1120,-135,-8.4375,tone,1.2793382406234741,2.1072494983673096,0.3777661621570587,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,113,1130,-156,-9.75,tone,2.0029048919677734,1.9808145761489868,0.5027725696563721,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,114,1140,-159,-9.9375,tone,2.6005451679229736,1.8619656562805176,0.5827537775039673,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,115,1150,-143,-8.9375,tone,2.952052593231201,1.7502477169036865,0.6277890801429749,0,0,0
0,f5p50_a10,5.5,10.0,formal_motor_band,116,1160,-110,-6.875,tone,2.9578750133514404,1.6452327966690063,0.6425821781158447,0,0,0
