sequence,sample_tick_ms,gyro_x_dps,gyro_y_dps,gyro_z_dps,sensor_valid,motor_enabled
0,0.0,0.0,4.304136545397137,2.9987208091245154,1,0
1,10.0,3.217654741699212,5.494587682337196,2.9502167537758646,1,0
2,20.0,6.07430997307047,6.088907194165696,2.6232168373843323,1,0
3,30.0,8.265431279758248,6.007406991441236,2.0598596907225017,1,0
4,40.0,9.58419007348847,5.2868960888303995,1.3250981776349446,1,0
5,50.0,9.93819660112501,4.058887706926751,0.5001866853886069,1,0
6,60.0,9.341699577851134,2.498250308979757,-0.3254197733486187,1,0
7,70.0,7.891747003486579,0.7716034032570658,-1.062959353878272,1,0
8,80.0,5.740943101738995,-0.9877325546969368,-1.633177316213558,1,0
9,90.0,3.077611839843612,-2.67026582681755,-1.9741953594579114,1,0
10,100.0,0.11755705045849581,-4.161478067952862,-2.047664292829362,1,0
11,110.0,-2.8964533115237465,-5.3213754944892235,-1.8425962694828721,1,0
12,120.0,-5.696887112431526,-5.9944218678041565,-1.376500221791207,1,0
13,130.0,-8.005014085436457,-6.05125986586217,-0.6937084096095536,1,0
14,140.0,-9.560303140384505,-5.441420131734947,0.13894274719545785,1,0
15,150.0,-10.161803398874989,-4.226592805239236,1.0386550831990182,1,0
16,160.0,-9.71017050863719,-2.5733303454738037,1.9147939317433251,1,0
17,170.0,-8.235963669233758,-0.7066899483346211,2.677800522156075,1,0
18,180.0,-5.902919169637594,1.1516852265969666,3.2480184844913627,1,0
19,190.0,-2.9830045847536777,2.8298190260119873,3.563569517852619,1,0
20,200.0,0.19021130325902824,4.215968757553264,3.586506061416989,1,0
21,210.0,3.276125240927122,5.236425183026812,3.306637194313277,1,0
22,220.0,5.9742032577450725,5.823626198485087,2.742651502904157,1,0
23,230.0,8.052693680832329,5.902374815049535,1.9404250252026805,1,0
24,240.0,9.356462514396377,5.408378139754347,0.9686777370975357,1,0
25,250.0,9.8,4.330240256082991,-0.08759856690386407,1,0
26,260.0,9.356462514396378,2.7482754624783596,-1.1353001128416094,1,0
27,270.0,8.05269368083233,0.8425588445745138,-2.0821624838189146,1,0
28,280.0,5.974203257745077,-1.140613024188038,-2.845629794400251,1,0
29,290.0,3.276125240927128,-2.9505290340213044,-3.3607760860256457,1,0
30,300.0,0.19021130325903468,-4.392304333241009,-3.5865060614169884,1,0
